timestamp,open,high,low,close,volume
2025-03-31 22:06:00,82425.36,82468.95,82416.24,82468.95,4.40482
2025-03-31 22:07:00,82468.95,82504.25,82468.95,82496.49,2.58053
2025-03-31 22:08:00,82496.49,82501.9,82444.14,82499.78,3.89051
2025-03-31 22:09:00,82499.78,82509.44,82455.87,82463.93,3.9338
2025-03-31 22:10:00,82463.66,82499.08,82449.35,82481.56,7.60972
2025-03-31 22:11:00,82481.55,82488.58,82435.86,82435.86,3.53813
2025-03-31 22:12:00,82435.87,82442.37,82407.58,82418.53,4.9588
2025-03-31 22:13:00,82418.54,82432.12,82404.34,82428.86,2.98115
2025-03-31 22:14:00,82428.87,82445.99,82420.14,82420.14,2.10156
2025-03-31 22:15:00,82420.15,82420.15,82307.35,82314.17,14.66212
2025-03-31 22:16:00,82314.17,82340.25,82310.03,82340.25,9.62644
2025-03-31 22:17:00,82340.25,82342.2,82273.91,82331.1,8.0815
2025-03-31 22:18:00,82331.1,82331.1,82285.79,82285.79,4.76112
2025-03-31 22:19:00,82285.01,82319.99,82274.04,82315.82,10.64641
2025-03-31 22:20:00,82315.81,82315.82,82266.7,82281.04,5.10998
2025-03-31 22:21:00,82281.04,82296.64,82273.88,82291.58,1.65971
2025-03-31 22:22:00,82291.58,82291.59,82265.1,82280.14,3.01577
2025-03-31 22:23:00,82280.15,82316.0,82268.29,82316.0,2.8535
2025-03-31 22:24:00,82315.99,82324.87,82300.6,82324.86,3.19727
2025-03-31 22:25:00,82324.87,82333.6,82283.19,82283.2,5.37392
2025-03-31 22:26:00,82283.19,82296.7,82283.19,82296.69,0.94738
2025-03-31 22:27:00,82296.69,82340.0,82291.25,82340.0,2.72006
2025-03-31 22:28:00,82339.99,82355.66,82336.0,82336.0,1.08402
2025-03-31 22:29:00,82336.0,82367.93,82336.0,82359.69,4.36518
2025-03-31 22:30:00,82359.68,82359.69,82332.6,82351.99,4.30625
2025-03-31 22:31:00,82352.0,82384.22,82352.0,82384.22,4.95363
2025-03-31 22:32:00,82384.22,82393.16,82374.04,82393.15,1.15095
2025-03-31 22:33:00,82393.15,82402.19,82373.47,82391.01,1.93082
2025-03-31 22:34:00,82391.02,82397.99,82366.48,82374.76,4.17533
2025-03-31 22:35:00,82374.76,82374.76,82300.01,82317.39,4.65526
2025-03-31 22:36:00,82317.4,82317.4,82300.78,82306.64,1.77302
2025-03-31 22:37:00,82306.65,82306.65,82283.81,82299.95,5.412
2025-03-31 22:38:00,82299.96,82349.23,82299.96,82349.23,2.90915
2025-03-31 22:39:00,82349.22,82352.48,82336.78,82336.79,1.74702
2025-03-31 22:40:00,82336.78,82336.79,82309.06,82332.04,3.7736
2025-03-31 22:41:00,82332.04,82340.0,82332.04,82339.98,0.62617
2025-03-31 22:42:00,82339.98,82339.99,82306.03,82315.76,4.92948
2025-03-31 22:43:00,82315.76,82333.92,82304.15,82333.91,2.30032
2025-03-31 22:44:00,82333.92,82355.91,82333.0,82333.01,2.07611
2025-03-31 22:45:00,82333.01,82333.01,82302.26,82302.26,4.21066
2025-03-31 22:46:00,82302.26,82317.4,82290.01,82317.39,2.1194
2025-03-31 22:47:00,82317.4,82331.99,82311.63,82331.98,2.51709
2025-03-31 22:48:00,82331.99,82360.87,82331.98,82360.86,1.85145
2025-03-31 22:49:00,82360.87,82360.87,82351.94,82354.08,1.03788
2025-03-31 22:50:00,82354.08,82354.08,82304.97,82304.98,4.33054
2025-03-31 22:51:00,82304.98,82333.89,82304.97,82324.55,2.47952
2025-03-31 22:52:00,82324.54,82362.0,82324.54,82362.0,5.51394
